Date,Open,High,Low,Close,Adj Close,Volume
2021-10-12,1.155295,1.157006,1.153389,1.155375,1.155375,0
2021-10-13,1.153097,1.157901,1.153057,1.153403,1.153403,0
2021-10-14,1.159958,1.162500,1.158467,1.159958,1.159958,0
2021-10-15,1.159071,1.161980,1.158883,1.159152,1.159152,0
2021-10-18,1.159595,1.161211,1.157300,1.159703,1.159703,0
2021-10-19,1.161454,1.167000,1.161454,1.161386,1.161386,0
2021-10-20,1.163386,1.165401,1.161805,1.163196,1.163196,0
2021-10-21,1.165243,1.166997,1.163318,1.165501,1.165501,0
2021-10-22,1.162588,1.165406,1.162237,1.162534,1.162534,0
2021-10-25,1.164131,1.166861,1.159326,1.164009,1.164009,0
2021-10-26,1.161170,1.162900,1.158587,1.161170,1.161170,0
2021-10-27,1.159824,1.162439,1.158534,1.159824,1.159824,0
2021-10-28,1.159891,1.169317,1.158319,1.160012,1.160012,0
2021-10-29,1.168374,1.169180,1.154668,1.168361,1.168361,0
2021-11-01,1.155936,1.159326,1.154668,1.155668,1.155668,0
2021-11-02,1.160174,1.161500,1.157917,1.159958,1.159958,0
2021-11-03,1.158078,1.159900,1.156363,1.157943,1.157943,0
2021-11-04,1.161575,1.161710,1.152924,1.161575,1.161575,0
2021-11-05,1.155668,1.156470,1.151410,1.155535,1.155535,0
2021-11-08,1.156845,1.159555,1.155175,1.156885,1.156885,0
2021-11-09,1.158869,1.160901,1.157019,1.159152,1.159152,0
2021-11-10,1.159366,1.159824,1.151344,1.159555,1.159555,0
2021-11-11,1.148567,1.149161,1.145489,1.148594,1.148594,0
2021-11-12,1.144780,1.145987,1.143406,1.145082,1.145082,0
2021-11-15,1.144230,1.146421,1.141696,1.144165,1.144165,0
2021-11-16,1.136738,1.138701,1.133067,1.136648,1.136648,0
2021-11-17,1.131618,1.133400,1.127053,1.132118,1.132118,0
2021-11-18,1.131811,1.135976,1.131503,1.132118,1.132118,0
2021-11-19,1.137010,1.137010,1.125239,1.136842,1.136842,0
2021-11-22,1.127574,1.129050,1.123823,1.127574,1.127574,0
2021-11-23,1.124354,1.127345,1.122712,1.124215,1.124215,0
2021-11-24,1.124391,1.125454,1.118781,1.124493,1.124493,0
2021-11-25,1.120699,1.123091,1.120398,1.120298,1.120298,0
2021-11-26,1.120900,1.132200,1.120800,1.120963,1.120963,0
2021-11-29,1.129114,1.129801,1.125885,1.129318,1.129318,0
2021-11-30,1.129357,1.138174,1.124606,1.129344,1.129344,0
2021-12-01,1.133003,1.135847,1.130416,1.133029,1.133029,0
2021-12-02,1.131964,1.134816,1.130186,1.131952,1.131952,0
2021-12-03,1.130684,1.133183,1.126735,1.130621,1.130621,0
2021-12-06,1.130263,1.131000,1.126900,1.130480,1.130480,0
2021-12-07,1.128452,1.129943,1.123129,1.128668,1.128668,0
2021-12-08,1.127307,1.133903,1.126964,1.127650,1.127650,0
2021-12-09,1.134404,1.134559,1.127943,1.134559,1.134559,0
2021-12-10,1.129408,1.132259,1.126735,1.129331,1.129331,0
2021-12-13,1.131119,1.131606,1.126354,1.131183,1.131183,0
2021-12-14,1.128337,1.132759,1.126659,1.128541,1.128541,0
2021-12-15,1.125873,1.127800,1.124923,1.126126,1.126126,0
2021-12-16,1.129305,1.136364,1.128210,1.129076,1.129076,0
2021-12-17,1.133543,1.134906,1.126837,1.133414,1.133414,0
2021-12-20,1.124252,1.130454,1.123734,1.124354,1.124354,0
2021-12-21,1.127675,1.130327,1.126177,1.127752,1.127752,0
2021-12-22,1.129050,1.134200,1.126532,1.128757,1.128757,0
2021-12-23,1.133016,1.134559,1.129152,1.132888,1.132888,0
2021-12-24,1.132464,1.134430,1.130838,1.132734,1.132734,0
2021-12-27,1.132387,1.133500,1.130416,1.132426,1.132426,0
2021-12-28,1.132978,1.133600,1.129038,1.133003,1.133003,0
2021-12-29,1.131337,1.137001,1.127536,1.131478,1.131478,0
2021-12-30,1.135976,1.135976,1.130071,1.136015,1.136015,0
2021-12-31,1.132323,1.137915,1.130506,1.132503,1.132503,0
2022-01-03,1.137385,1.137592,1.128541,1.137346,1.137346,0
2022-01-04,1.130199,1.132300,1.127345,1.130224,1.130224,0
2022-01-05,1.128541,1.134559,1.127764,1.128363,1.128363,0
2022-01-06,1.131222,1.133067,1.128554,1.131350,1.131350,0
2022-01-07,1.129586,1.135976,1.129050,1.129688,1.129688,0
2022-01-10,1.135344,1.135976,1.128834,1.135396,1.135396,0
2022-01-11,1.133273,1.136900,1.131554,1.133042,1.133042,0
2022-01-12,1.137010,1.143300,1.135576,1.136648,1.136648,0
2022-01-13,1.143981,1.147908,1.143641,1.144165,1.144165,0
2022-01-14,1.145659,1.148369,1.141005,1.145712,1.145712,0
2022-01-17,1.141214,1.143458,1.139315,1.141070,1.141070,0
2022-01-18,1.141292,1.142335,1.132965,1.141057,1.141057,0
2022-01-19,1.133003,1.135680,1.131952,1.132965,1.132965,0
2022-01-20,1.134353,1.136893,1.133016,1.134340,1.134340,0
2022-01-21,1.131542,1.136105,1.130224,1.131375,1.131375,0
2022-01-24,1.134095,1.134095,1.129140,1.134147,1.134147,0
2022-01-25,1.132387,1.132503,1.126684,1.132413,1.132413,0
2022-01-26,1.130352,1.131350,1.127205,1.130454,1.130454,0
2022-01-27,1.124227,1.124480,1.113350,1.124354,1.124354,0
2022-01-28,1.114616,1.117006,1.112335,1.114703,1.114703,0
2022-01-31,1.115138,1.121692,1.114504,1.115237,1.115237,0
2022-02-01,1.122914,1.127904,1.122208,1.122965,1.122965,0
2022-02-02,1.127307,1.132939,1.126697,1.127396,1.127396,0
2022-02-03,1.129995,1.145069,1.127205,1.129995,1.129995,0
2022-02-04,1.143511,1.148369,1.141344,1.143576,1.143576,0
2022-02-07,1.145462,1.146000,1.141670,1.145515,1.145515,0
2022-02-08,1.144086,1.145082,1.139705,1.144296,1.144296,0
2022-02-09,1.142113,1.144700,1.140329,1.142126,1.142126,0
2022-02-10,1.142126,1.149425,1.138084,1.142152,1.142152,0
2022-02-11,1.141175,1.141901,1.137126,1.141553,1.141553,0
2022-02-14,1.136583,1.136893,1.129280,1.136506,1.136506,0
2022-02-15,1.130608,1.136880,1.130582,1.130633,1.130633,0
2022-02-16,1.135564,1.139315,1.134546,1.135680,1.135680,0
2022-02-17,1.137333,1.138693,1.132759,1.137527,1.137527,0
2022-02-18,1.136389,1.137669,1.131580,1.136648,1.136648,0
2022-02-21,1.131734,1.138563,1.131414,1.131721,1.131721,0
2022-02-22,1.130966,1.136377,1.128910,1.130966,1.130966,0
2022-02-23,1.133055,1.135976,1.130736,1.132913,1.132913,0
2022-02-24,1.130595,1.130595,1.111049,1.130569,1.130569,0
2022-02-25,1.119081,1.126608,1.116807,1.119069,1.119069,0
2022-02-28,1.118105,1.124455,1.114318,1.118105,1.118105,0
2022-03-01,1.121466,1.123217,1.110211,1.121592,1.121592,0
2022-03-02,1.113102,1.114194,1.105852,1.113276,1.113276,0
2022-03-03,1.111358,1.111605,1.103984,1.111235,1.111235,0
2022-03-04,1.106929,1.106929,1.089004,1.106684,1.106684,0
2022-03-07,1.087394,1.093075,1.080859,1.087453,1.087453,0
2022-03-08,1.086957,1.092216,1.085117,1.086531,1.086531,0
2022-03-09,1.090085,1.109115,1.089788,1.089823,1.089823,0
2022-03-10,1.107334,1.111617,1.098213,1.107383,1.107383,0
2022-03-11,1.101212,1.104192,1.093470,1.101394,1.101394,0
2022-03-14,1.093255,1.098696,1.090251,1.093207,1.093207,0
2022-03-15,1.094535,1.101831,1.093948,1.094319,1.094319,0
2022-03-16,1.096732,1.103875,1.095578,1.096936,1.096936,0
2022-03-17,1.102244,1.111049,1.102123,1.102196,1.102196,0
2022-03-18,1.109890,1.111791,1.100534,1.109952,1.109952,0
2022-03-21,1.104216,1.106672,1.102609,1.104313,1.104313,0
2022-03-22,1.101637,1.104570,1.096155,1.101722,1.101722,0
2022-03-23,1.103010,1.104200,1.096575,1.102974,1.102974,0
2022-03-24,1.100631,1.101334,1.096996,1.100631,1.100631,0
2022-03-25,1.100897,1.103875,1.098298,1.100958,1.100958,0
2022-03-28,1.098189,1.099674,1.094535,1.098189,1.098189,0
2022-03-29,1.099384,1.113635,1.097045,1.099384,1.099384,0
2022-03-30,1.109152,1.117000,1.108906,1.109152,1.109152,0
2022-03-31,1.116184,1.118306,1.107400,1.116184,1.116184,0
2022-04-01,1.107236,1.107542,1.102974,1.107236,1.107236,0
2022-04-04,1.104728,1.105705,1.098093,1.104728,1.104728,0
2022-04-05,1.097586,1.099143,1.092132,1.097586,1.097586,0
2022-04-06,1.090643,1.093745,1.087571,1.090643,1.090643,0
2022-04-07,1.089823,1.093506,1.086720,1.089823,1.089823,0
2022-04-08,1.086484,1.089194,1.083694,1.086484,1.086484,0
2022-04-11,1.088495,1.093279,1.087465,1.088495,1.088495,0
2022-04-12,1.087796,1.090394,1.085187,1.087796,1.087796,0
2022-04-13,1.082614,1.087382,1.081034,1.082614,1.082614,0
2022-04-14,1.089657,1.092263,1.075859,1.089657,1.089657,0
2022-04-15,1.082099,1.082345,1.079879,1.082099,1.082099,0
2022-04-18,1.081525,1.081584,1.078365,1.081525,1.081525,0
2022-04-19,1.078179,1.081210,1.076195,1.078179,1.078179,0
2022-04-20,1.079447,1.086720,1.078481,1.079447,1.079447,0
2022-04-21,1.084987,1.093470,1.082439,1.084987,1.084987,0
2022-04-22,1.083518,1.085423,1.077284,1.083518,1.083518,0
2022-04-25,1.081105,1.081221,1.070034,1.081105,1.081105,0
2022-04-26,1.071421,1.073883,1.064464,1.071421,1.071421,0
2022-04-27,1.064362,1.065644,1.051669,1.064362,1.064362,0
2022-04-28,1.055509,1.056223,1.047285,1.055509,1.055509,0
2022-04-29,1.050420,1.059042,1.050542,1.050420,1.050420,0
2022-05-02,1.053596,1.056770,1.050398,1.053596,1.053596,0
2022-05-03,1.050906,1.057765,1.049439,1.050906,1.050906,0
2022-05-04,1.052853,1.056636,1.050652,1.052853,1.052853,0
2022-05-05,1.062248,1.064000,1.050464,1.062248,1.062248,0
2022-05-06,1.053974,1.059839,1.048537,1.053974,1.053974,0
2022-05-09,1.053219,1.057217,1.049659,1.053219,1.053219,0
2022-05-10,1.056580,1.058582,1.052731,1.056580,1.056580,0
2022-05-11,1.053297,1.057563,1.050707,1.053297,1.053297,0
2022-05-12,1.051248,1.052975,1.037355,1.051248,1.051248,0
2022-05-13,1.037958,1.041938,1.035197,1.037958,1.037958,0
2022-05-16,1.040063,1.043798,1.039134,1.040063,1.040063,0
2022-05-17,1.043896,1.055376,1.043242,1.043896,1.043896,0
2022-05-18,1.054786,1.056412,1.049241,1.054786,1.054786,0
2022-05-19,1.047274,1.059805,1.046605,1.047274,1.047274,0
2022-05-20,1.057899,1.059883,1.054107,1.057899,1.057899,0
2022-05-23,1.056982,1.069027,1.056870,1.056982,1.056982,0
2022-05-24,1.068205,1.074633,1.066200,1.068205,1.068205,0
2022-05-25,1.073653,1.073653,1.064407,1.073653,1.073653,0
2022-05-26,1.068661,1.072869,1.066450,1.068661,1.068661,0
2022-05-27,1.073295,1.076507,1.069805,1.073295,1.073295,0
2022-05-30,1.073146,1.078516,1.072743,1.073146,1.073146,0
2022-05-31,1.077354,1.077493,1.068216,1.077354,1.077354,0
2022-06-01,1.073411,1.073664,1.063174,1.073411,1.073411,0
2022-06-02,1.065417,1.073849,1.064566,1.065417,1.065417,0
2022-06-03,1.075107,1.076542,1.070664,1.075107,1.075107,0
2022-06-06,1.072605,1.075269,1.068604,1.072605,1.072605,0
2022-06-07,1.069141,1.070893,1.065280,1.069141,1.069141,0
2022-06-08,1.069862,1.074830,1.067327,1.069862,1.069862,0
2022-06-09,1.071765,1.077006,1.064713,1.071765,1.071765,0
2022-06-10,1.061921,1.064215,1.050773,1.061921,1.061921,0
2022-06-13,1.048999,1.049759,1.041905,1.048999,1.048999,0
2022-06-14,1.041515,1.048240,1.039825,1.041515,1.041515,0
2022-06-15,1.044059,1.050718,1.038627,1.044059,1.044059,0
2022-06-16,1.045620,1.053031,1.038260,1.045620,1.045620,0
2022-06-17,1.054685,1.055175,1.044561,1.054685,1.054685,0
2022-06-20,1.049142,1.054519,1.048636,1.049142,1.049142,0
2022-06-21,1.052078,1.058190,1.051425,1.052078,1.052078,0
2022-06-22,1.053264,1.060288,1.047186,1.053264,1.053264,0
2022-06-23,1.056412,1.058067,1.048449,1.056412,1.056412,0
2022-06-24,1.052011,1.056915,1.051370,1.052011,1.052011,0
2022-06-27,1.056613,1.061425,1.055086,1.056613,1.056613,0
2022-06-28,1.058089,1.060502,1.050575,1.058089,1.058089,0
2022-06-29,1.052355,1.053630,1.046803,1.052355,1.052355,0
2022-06-30,1.044659,1.047878,1.038389,1.044659,1.044659,0
2022-07-01,1.047768,1.047790,1.036989,1.047768,1.047768,0
2022-07-04,1.043395,1.046353,1.041808,1.043395,1.043395,0
2022-07-05,1.043319,1.044856,1.023730,1.043319,1.043319,0
2022-07-06,1.025767,1.027390,1.016219,1.025767,1.025767,0
2022-07-07,1.018641,1.021920,1.015332,1.018641,1.018641,0
2022-07-08,1.016984,1.019108,1.007973,1.016984,1.016984,0
2022-07-11,1.016611,1.016777,1.005429,1.016611,1.016611,0
2022-07-12,1.004753,1.007384,1.000110,1.004753,1.004753,0
2022-07-13,1.003311,1.011624,0.999890,1.003311,1.003311,0
2022-07-14,1.003271,1.004924,0.995362,1.003271,1.003271,0
2022-07-15,1.002567,1.009795,1.001061,1.002567,1.002567,0
2022-07-18,1.009632,1.019888,1.008237,1.009632,1.009632,0
2022-07-19,1.014518,1.026821,1.012566,1.014518,1.014518,0
2022-07-20,1.023133,1.027190,1.017594,1.023133,1.023133,0
2022-07-21,1.018278,1.027538,1.016312,1.018278,1.018278,0
2022-07-22,1.022108,1.025515,1.013397,1.022108,1.022108,0
2022-07-25,1.020023,1.025641,1.018060,1.020023,1.020023,0
2022-07-26,1.022495,1.024905,1.011398,1.022495,1.022495,0
2022-07-27,1.012956,1.017191,1.010744,1.012956,1.012956,0
2022-07-28,1.020929,1.023311,1.011572,1.020929,1.020929,0
2022-07-29,1.019233,1.025378,1.014858,1.019233,1.019233,0
2022-08-01,1.020825,1.027749,1.020960,1.020825,1.020825,0
2022-08-02,1.026136,1.029315,1.018371,1.026136,1.026136,0
2022-08-03,1.015569,1.020762,1.012320,1.015569,1.015569,0
2022-08-04,1.015765,1.023248,1.015600,1.015765,1.015765,0
2022-08-05,1.024779,1.024905,1.014363,1.024779,1.024779,0
2022-08-08,1.017087,1.022181,1.016002,1.017087,1.017087,0
2022-08-09,1.019763,1.024695,1.018921,1.019763,1.019763,0
2022-08-10,1.020814,1.036914,1.020304,1.020814,1.020814,0
2022-08-11,1.030078,1.036592,1.027633,1.030078,1.030078,0
2022-08-12,1.031672,1.032738,1.023961,1.031672,1.031672,0
2022-08-15,1.025641,1.026715,1.018226,1.025641,1.025641,0
2022-08-16,1.016198,1.019441,1.012340,1.016198,1.016198,0
2022-08-17,1.017066,1.019784,1.014806,1.017066,1.017066,0
2022-08-18,1.018019,1.019368,1.011317,1.018019,1.018019,0
2022-08-19,1.008990,1.011225,1.003623,1.008990,1.008990,0
2022-08-22,1.003522,1.004823,0.992773,1.003522,1.003522,0
2022-08-23,0.993947,1.001904,0.990315,0.993947,0.993947,0
2022-08-24,0.996691,0.999820,0.991198,0.996691,0.996691,0
2022-08-25,0.996910,1.003059,0.995679,0.996910,0.996910,0
2022-08-26,0.997128,1.008827,0.994728,0.997128,0.997128,0
2022-08-29,0.993868,1.003110,0.991493,0.993868,0.993868,0
2022-08-30,1.001402,1.005227,0.998343,1.001402,1.001402,0
2022-08-31,1.002506,1.007739,0.997168,1.002506,1.002506,0
2022-09-01,1.003905,1.004581,0.991739,1.003905,1.003905,0
2022-09-02,0.995233,1.003331,0.995124,0.995233,0.995233,0
2022-09-05,0.990943,0.994352,0.988084,0.990943,0.990943,0
2022-09-06,0.995223,0.998532,0.986514,0.995223,0.995223,0
2022-09-07,0.989795,0.995520,0.987781,0.989795,0.989795,0
2022-09-08,0.999570,1.002908,0.993345,0.999570,0.999570,0
2022-09-09,1.001202,1.011225,1.000931,1.001202,1.001202,0
2022-09-12,1.007141,1.019680,1.006472,1.007141,1.007141,0
2022-09-13,1.012956,1.018745,0.999580,1.012956,1.012956,0
2022-09-14,0.998203,1.002275,0.996363,0.998203,0.998203,0
2022-09-15,0.998403,1.001793,0.995748,0.998403,0.998403,0
2022-09-16,0.998831,1.003563,0.994580,0.998831,0.998831,0
2022-09-19,1.002235,1.002808,0.996681,1.002235,1.002235,0
2022-09-20,1.002959,1.005025,0.995708,1.002959,1.002959,0
2022-09-21,0.997079,0.997407,0.986914,0.997079,0.997079,0
2022-09-22,0.983072,0.990619,0.981104,0.983072,0.983072,0
2022-09-23,0.984155,0.985222,0.970393,0.984155,0.984155,0
2022-09-26,0.968992,0.969989,0.958231,0.968992,0.968992,0
2022-09-27,0.962371,0.967006,0.959453,0.962371,0.962371,0
2022-09-28,0.959619,0.968626,0.954016,0.959619,0.959619,0
2022-09-29,0.970817,0.978732,0.963828,0.970817,0.970817,0
2022-09-30,0.982956,0.984999,0.973606,0.982956,0.982956,0
2022-10-03,0.979269,0.984426,0.975362,0.979269,0.979269,0
2022-10-04,0.983207,0.998014,0.980671,0.983207,0.983207,0
2022-10-05,0.998432,0.999420,0.983545,0.998432,0.998432,0
2022-10-06,0.991100,0.992635,0.978933,0.991100,0.991100,0
2022-10-07,0.978905,0.981605,0.973170,0.978905,0.978905,0
2022-10-10,0.973501,0.975229,0.968251,0.973501,0.973501,0
2022-10-11,0.971006,0.975810,0.967399,0.971006,0.971006,0
2022-10-12,0.970017,0.973302,0.966968,0.970017,0.970017,0
2022-10-13,0.970798,0.979509,0.963595,0.970798,0.970798,0
2022-10-14,0.975134,0.980383,0.970949,0.975134,0.975134,0
2022-10-17,0.973937,0.984707,0.972450,0.973937,0.973937,0
2022-10-18,0.984640,0.987362,0.981460,0.984640,0.984640,0
2022-10-19,0.986388,0.986699,0.976019,0.986388,0.986388,0
2022-10-20,0.976648,0.984514,0.975553,0.976648,0.976648,0
2022-10-21,0.977890,0.985698,0.970732,0.977890,0.977890,0
2022-10-24,0.986009,0.988963,0.980892,0.986009,0.986009,0
2022-10-25,0.988650,0.997536,0.985222,0.988650,0.988650,0
2022-10-26,0.996373,1.008054,0.994461,0.996373,0.996373,0
2022-10-27,1.009194,1.009489,0.997646,1.009194,1.009194,0
2022-10-28,0.996780,0.999900,0.993147,0.996780,0.996780,0
2022-10-31,0.995500,0.996810,0.987352,0.995500,0.995500,0
2022-11-01,0.988631,0.995163,0.986213,0.988631,0.988631,0
2022-11-02,0.987791,0.991355,0.986758,0.987791,0.987791,0
2022-11-03,0.981441,0.983961,0.973122,0.981441,0.981441,0
2022-11-04,0.974963,0.993818,0.974849,0.974963,0.974963,0
2022-11-07,0.992881,1.000500,0.991945,0.992881,0.992881,0
2022-11-08,1.001863,1.009418,0.997606,1.001863,1.001863,0
2022-11-09,1.008085,1.008878,1.001252,1.008085,1.008085,0
2022-11-10,1.001954,1.018299,0.993779,1.001954,1.001954,0
2022-11-11,1.019222,1.033837,1.016622,1.019222,1.019222,0
2022-11-14,1.032855,1.035025,1.027359,1.032855,1.032855,0
2022-11-15,1.031928,1.047548,1.031385,1.031928,1.031928,0
2022-11-16,1.035786,1.043732,1.033645,1.035786,1.035786,0
2022-11-17,1.039501,1.040572,1.030949,1.039501,1.039501,0
2022-11-18,1.036173,1.039587,1.032802,1.036173,1.036173,0
2022-11-21,1.033090,1.033325,1.022704,1.033090,1.033090,0
2022-11-22,1.024569,1.029018,1.024338,1.024569,1.024569,0
2022-11-23,1.031109,1.038206,1.029813,1.031109,1.031109,0
2022-11-24,1.041623,1.044823,1.038368,1.041623,1.041623,0
2022-11-25,1.040810,1.042905,1.035615,1.040810,1.040810,0
2022-11-28,1.036753,1.049670,1.034244,1.036753,1.036753,0
2022-11-29,1.034554,1.039415,1.032546,1.034554,1.034554,0
2022-11-30,1.032450,1.039458,1.029230,1.032450,1.032450,0
2022-12-01,1.042535,1.053141,1.039793,1.042535,1.042535,0
2022-12-02,1.052842,1.054519,1.043417,1.052842,1.052842,0
2022-12-05,1.054419,1.059412,1.049241,1.054419,1.054419,0
2022-12-06,1.049692,1.053208,1.047702,1.049692,1.049692,0
2022-12-07,1.046901,1.054619,1.044376,1.046901,1.046901,0
2022-12-08,1.051326,1.056312,1.049164,1.051326,1.051326,0
2022-12-09,1.055966,1.058840,1.052000,1.055966,1.055966,0
2022-12-12,1.052222,1.057921,1.050707,1.052222,1.052222,0
2022-12-13,1.054174,1.066894,1.052931,1.054174,1.054174,0
2022-12-14,1.062665,1.066985,1.062011,1.062665,1.062665,0
2022-12-15,1.067635,1.072559,1.060738,1.067635,1.067635,0
2022-12-16,1.064056,1.066325,1.059940,1.064056,1.064056,0
2022-12-19,1.058504,1.065900,1.057720,1.058504,1.058504,0
2022-12-20,1.061458,1.065553,1.058067,1.061458,1.061458,0
2022-12-21,1.062699,1.064351,1.059704,1.062699,1.062699,0
2022-12-22,1.061008,1.065746,1.058403,1.061008,1.061008,0
2022-12-23,1.060333,1.063117,1.058795,1.060333,1.060333,0
